// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8
// command took 3,34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8
// command took 4,68s and exited with 0
// ***** Done, took 00:00:08 (8.11 sec)   *****
// Found 3 benchmarks:
//   DateParserBenchmarks.GetYearFromDateTime: DefaultJob
//   DateParserBenchmarks.GetYearFromSpan: DefaultJob
//   DateParserBenchmarks.GetYearFromSpanExplictIntConversion: DefaultJob

// **************************
// Benchmark: DateParserBenchmarks.GetYearFromDateTime: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7971161-1ccc-414a-ad13-e70848c29cf8.dll" --benchmarkName "BenchmarkExperiment.DateParserBenchmarks.GetYearFromDateTime" --job "Default" --benchmarkId 0 in C:\Users\Pato\Documents\projects\csharp\BenchmarkExperiment\BenchmarkExperiment\bin\Release\net5.0\a7971161-1ccc-414a-ad13-e70848c29cf8\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.2 (CoreCLR 5.0.220.61120, CoreFX 5.0.220.61120), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 227100.00 ns, 227.1000 us/op
WorkloadJitting  1: 1 op, 12483700.00 ns, 12.4837 ms/op

OverheadJitting  2: 16 op, 223000.00 ns, 13.9375 us/op
WorkloadJitting  2: 16 op, 272000.00 ns, 17.0000 us/op

WorkloadPilot    1: 16 op, 26900.00 ns, 1.6812 us/op
WorkloadPilot    2: 32 op, 31200.00 ns, 975.0000 ns/op
WorkloadPilot    3: 64 op, 55600.00 ns, 868.7500 ns/op
WorkloadPilot    4: 128 op, 90400.00 ns, 706.2500 ns/op
WorkloadPilot    5: 256 op, 205900.00 ns, 804.2969 ns/op
WorkloadPilot    6: 512 op, 350800.00 ns, 685.1562 ns/op
WorkloadPilot    7: 1024 op, 658400.00 ns, 642.9688 ns/op
WorkloadPilot    8: 2048 op, 1291400.00 ns, 630.5664 ns/op
WorkloadPilot    9: 4096 op, 2717800.00 ns, 663.5254 ns/op
WorkloadPilot   10: 8192 op, 5461400.00 ns, 666.6748 ns/op
WorkloadPilot   11: 16384 op, 10963600.00 ns, 669.1650 ns/op
WorkloadPilot   12: 32768 op, 21672500.00 ns, 661.3922 ns/op
WorkloadPilot   13: 65536 op, 45150200.00 ns, 688.9374 ns/op
WorkloadPilot   14: 131072 op, 89082300.00 ns, 679.6440 ns/op
WorkloadPilot   15: 262144 op, 175807000.00 ns, 670.6505 ns/op
WorkloadPilot   16: 524288 op, 347393900.00 ns, 662.6013 ns/op
WorkloadPilot   17: 1048576 op, 688785300.00 ns, 656.8769 ns/op

OverheadWarmup   1: 1048576 op, 2030300.00 ns, 1.9362 ns/op
OverheadWarmup   2: 1048576 op, 2026500.00 ns, 1.9326 ns/op
OverheadWarmup   3: 1048576 op, 2042600.00 ns, 1.9480 ns/op
OverheadWarmup   4: 1048576 op, 2094200.00 ns, 1.9972 ns/op
OverheadWarmup   5: 1048576 op, 2049600.00 ns, 1.9547 ns/op
OverheadWarmup   6: 1048576 op, 2195800.00 ns, 2.0941 ns/op
OverheadWarmup   7: 1048576 op, 2155500.00 ns, 2.0556 ns/op

OverheadActual   1: 1048576 op, 2059200.00 ns, 1.9638 ns/op
OverheadActual   2: 1048576 op, 2122800.00 ns, 2.0245 ns/op
OverheadActual   3: 1048576 op, 2038300.00 ns, 1.9439 ns/op
OverheadActual   4: 1048576 op, 2021800.00 ns, 1.9281 ns/op
OverheadActual   5: 1048576 op, 2027500.00 ns, 1.9336 ns/op
OverheadActual   6: 1048576 op, 2034600.00 ns, 1.9403 ns/op
OverheadActual   7: 1048576 op, 2039200.00 ns, 1.9447 ns/op
OverheadActual   8: 1048576 op, 2033800.00 ns, 1.9396 ns/op
OverheadActual   9: 1048576 op, 2025600.00 ns, 1.9318 ns/op
OverheadActual  10: 1048576 op, 2040600.00 ns, 1.9461 ns/op
